category,chemical,pair_count,cat_count,chem_count
Fish & Seafood,mercury,1028,2623,1069
Fish & Seafood,cadmium,588,2623,702
Fish & Seafood,sulfite,352,2623,876
Fish & Seafood,benzo(a)pyrene,173,2623,385
Fish & Seafood,polyphosphates,57,2623,65
Fish & Seafood,dioxins,44,2623,93
Fish & Seafood,lead,20,2623,197
Fish & Seafood,sodium nitrite,16,2623,18
Fish & Seafood,polycyclic aromatic hydrocarbons,11,2623,30
Fish & Seafood,non-dioxin-like polychlorobifenyls,11,2623,12
Fish & Seafood,histamine,8,2623,8
Fish & Seafood,sunset yellow fcf,7,2623,82
Fish & Seafood,benzoic acid,5,2623,269
Fish & Seafood,ponceau 4r / cochineal red a,5,2623,59
Fish & Seafood,diphosphate,5,2623,5
Fish & Seafood,citric acid,5,2623,5
Fish & Seafood,annato/bixin/norbixin,4,2623,59
Fish & Seafood,azorubine,4,2623,30
Fish & Seafood,allura red ac,4,2623,21
Fish & Seafood,sodium nitrate,4,2623,11
Fish & Seafood,glutamic acid,4,2623,6
Fish & Seafood,phosphate,4,2623,4
Fish & Seafood,polychlorobifenyls,3,2623,8
Fish & Seafood,dioxin-like polychlorobifenyls,3,2623,7
Fish & Seafood,monosodium glutamate,3,2623,4
Fish & Seafood,erythrosine,2,2623,94
Fish & Seafood,sorbic acid,2,2623,54
Fish & Seafood,triphosphate,2,2623,2
Fish & Seafood,sodium aluminium phosphate,2,2623,2
Fish & Seafood,hexamethylene tetramine,2,2623,2
Fish & Seafood,boric acid,2,2623,2
Fish & Seafood,color sudan 1,1,2623,569
Fish & Seafood,arsenic,1,2623,161
Fish & Seafood,nitrate,1,2623,33
Fish & Seafood,color,1,2623,12
Fish & Seafood,carmines,1,2623,8
Fish & Seafood,quinoline yellow,1,2623,6
Fish & Seafood,petroleum hydrocarbons,1,2623,6
Fish & Seafood,pentapotassium triphosphate,1,2623,5
Fish & Seafood,benzo(a)anthracene,1,2623,5
Fish & Seafood,chemical contamination,1,2623,4
Fish & Seafood,sodium erythorbate,1,2623,3
Fish & Seafood,paraffin,1,2623,3
